17.9948586118	0.0045719704	0.0005902544
20.5655526992	0.0035617541	0.0003201577
25.706940874	0.0022814042	0.0002301417
30.8483290488	0.0014210494	0.0001300961
35.9897172237	0.0008187052	7.30629341707651E-005
41.1311053985	0.0004564493	4.50443344573125E-005
46.2724935733	0.0002753048	3.90432234371521E-005
51.4138817481	0.000108133	2.50307840306826E-005
57.8406169666	5.60775697953426E-005	1.70235479735861E-005
64.2673521851	2.80430910195538E-005	1.50230844747609E-005
77.1208226221	3.20590871774447E-005	1.80332365373127E-005
