Chi2   rChi2   BIC   AIC    Qichtot    Qimtot  R[0]  R[1]  R[2]  R[3]  R[4]  R[5]  R[6]  R[7]  R[8]  R[9]  R[10]  R[11]  R[12]  Q0ch    Q1ch    Q2ch    Q3ch    Q4ch    Q5ch    Q6ch    Q7ch    Q8ch    Q9ch    Q10ch    Q11ch    Q12ch    Q0m    Q1m    Q2m    Q3m    Q4m    Q5m    Q6m    Q7m    Q8m    Q9m    Q10m    Q11m    Q12m
513.024 2.21131 249.264 203.025 1.01363 1.02836 0.2 0.6 0.9 1.3 1.6 1.9 2.4 3 3.4 4.4 3.6 5.2 5.7 0.115052 0.0775675 0.185412 0.259864 0.0793272 0.151815 0.0329452 0.0660399 0.0348661 0 4.2874e-12 0.0107372 3.00093e-13 0.0964496 0.148667 0.187152 0.181658 0.0674584 0.167142 0.0695541 0.073756 2.05724e-13 0.0109278 0.0199346 0.00565998 0
518.599 2.23534 252.063 205.824 1.01393 1.05628 0.0001 0.5 0.8 1.1 1.3 1.9 2.5 3 3.5 3.6 4.5 5.2 5.4 0.0707867 0.105464 0.149831 0.0176737 0.340017 0.196316 0.0198322 0.0743307 0.0293121 4.26048e-13 5.55112e-17 0.0103712 2.95941e-12 0.0571115 0.138855 0.195595 0.0107341 0.251373 0.21389 0.0642181 0.0709043 8.37069e-12 0.0298918 0.0165001 0.0072015 0
823.139 3.54801 371.72 325.481 1.0158 1.15031 0.1 0.6 1 1.3 1.7 2.1 2.7 2.9 3.8 3.9 5.1 5.3 5.3 0.064398 0.240618 0.03517 0.274392 0.233018 0.0228501 1.62481e-13 0.114701 0.0158769 3.30191e-10 5.55112e-17 0.014772 9.02306e-12 0.0759274 0.221331 0.0956083 0.291264 0.0556758 0.157767 0.101609 0.0193117 0.0861972 1.63758e-14 0.0456186 6.10623e-16 0
503.814 2.17161 244.572 198.333 1.01343 1.09047 0.1 0.4 0.7 1.1 1.6 1.7 2.3 2.9 3.3 3.4 4.4 5.2 5.5 0.060491 0.105265 0.0619933 0.343218 0.0101017 0.260145 0.0586985 0.0490768 0.0375606 0.0164165 1.29119e-13 0.0104596 6.74183e-13 0.0512451 0.0947453 0.173766 0.236347 0.0689747 0.18283 0.122717 0.0588028 4.39201e-11 0.0572629 0.0306915 0.0130878 0
443.716 1.91257 211.673 165.434 1.00837 1.05577 0.3 0.7 0.9 1.4 1.7 2.2 2.7 3.3 3.9 4.4 4.3 5.9 5.9 0.102611 0.164941 0.171467 0.245435 0.0902457 0.128211 0.0538698 0.0390188 0.00519841 0.00337548 0.00399185 2.83501e-12 2.633e-12 0.160145 0.0295835 0.292003 0.125541 0.18338 0.0995952 0.0656982 0.05436 7.60503e-14 0.0300898 2.28506e-12 0.0153724 0
437.12 1.88414 207.794 161.556 1.00844 1.0187 0.2 0.5 0.7 1.1 1.5 1.9 2.4 3 3.4 3.9 4.4 5 5.7 0.0515241 0.0796263 0.187033 0.208099 0.192702 0.110564 0.105831 0.0382794 0.0225439 0.00550802 0.00673059 1.55431e-15 4.77896e-13 0.0849809 0.0845696 0.143867 0.225472 0.143321 0.150587 0.0846117 0.0568601 0.0149079 0.0148788 0.0146478 7.21645e-16 0
439.416 1.89403 209.151 162.912 1.00861 1.03617 0.0001 0.5 0.7 1.2 1.4 2 2.6 3.2 3.6 3.9 4.4 5.1 5.6 0.035837 0.0771768 0.244318 0.141128 0.210175 0.164117 0.0813465 0.0306124 0.0158829 3.55882e-13 0.00801221 6.66134e-16 6.21925e-12 0.0624202 0.11154 0.155496 0.231969 0.13056 0.167337 0.0980349 0.029618 1.77636e-15 0.040452 9.17311e-12 0.00873767 0
439.679 1.89517 209.306 163.067 1.00847 0.985275 0.2 0.5 0.8 1.3 1.7 2 2.5 3.1 3.5 4.2 4.4 4.4 5.7 0.0489744 0.112475 0.231056 0.258048 0.102266 0.100973 0.0916122 0.0342733 0.0201973 0.00372695 0.00486303 2.31507e-08 3.50647e-12 0.0861654 0.0938274 0.215289 0.245221 0.0744653 0.137199 0.0619363 0.0534521 0.0014896 0.0162308 4.1217e-13 4.1217e-13 0
437.339 1.88508 207.924 161.685 1.0084 1.00197 0.2 0.6 0.7 1.2 1.6 1.9 2.4 3 3.5 4.3 4.4 5.4 5.8 0.0584046 0.108938 0.171308 0.26055 0.127442 0.103709 0.104074 0.0425565 0.0231929 0.00549041 0.00273326 4.996e-16 1.76192e-13 0.0929327 0.103521 0.142884 0.26416 0.0744222 0.155672 0.0768933 0.0566944 0.0164838 0.0183099 7.16529e-11 9.4369e-16 0
438.181 1.88871 208.422 162.184 1.00851 1.01079 0.3 0.7 0.8 1.1 1.4 1.8 2.3 2.9 3.4 4.1 4.4 5.2 5.6 0.102364 0.128865 0.146678 0.0840482 0.224925 0.117429 0.118153 0.0481688 0.0269138 0.00523062 0.00573554 5.09404e-12 5.23054e-12 0.156288 0.00138359 0.218242 0.11929 0.150399 0.158861 0.101912 0.0579086 0.0247342 0.0174535 0.00431667 6.50119e-12 0
