rChi^2    R[1]     R[2]    R[3]    R[4]    R[5]    R[6]    R[7]    R[8]    R[9]    R[10]    R[11]   Q0   Q1   Q2   Q3   Q4   Q5   Q6   Q7   Q8   Q9   Q10   Q11   
9.69785 0.881116 1.55448 1.596 2.29766 2.68616 3.28307 4.09154 4.31733 4.89534 5.84395 6.36948 7.06749 1480.38 -79.9023 -182.433 -1593.41 -1720.22 -333.573 3013.44 3103.61 -1484.09 -9550.56 9561.33 -2202.95
9.10035 0.623386 1.43518 2.14446 3.11426 4.11397 4.60245 5.38153 5.90513 6.72806 6.85775 7.10914 7.83669 532.026 -10.5128 -624.302 -931.017 648.119 1621.28 377.441 -2628.22 -1054.02 207.499 2715.12 -841.885
9.67727 0.925871 1.69794 2.34119 2.65559 3.42061 3.64243 4.30968 4.91406 5.57237 6.21418 6.65653 6.97572 1517.49 -331.399 -1645.14 -1824.17 19.9178 1115.97 3853.5 1027.3 -7253.37 -141.139 8600.44 -4927.8
9.71013 0.36929 1.35097 2.23395 2.7401 3.60676 4.59757 5.14265 5.42901 5.49086 6.15435 6.63362 6.973 1254 -288.691 -1676.69 -1540.3 1790.6 4885.75 150.289 -3513.2 -4169.79 -509.51 8110.98 -4481.82
9.59213 0.749883 1.42192 1.48149 2.1904 3.02325 3.67207 4.5678 4.64072 5.5766 6.21137 7.0741 7.17198 1329.59 -89.1341 -229.618 -1708.48 -1413.88 1268.84 2733.93 2292.51 -8682.85 4234.99 6811.17 -6535.48
9.36247 0.658047 0.684997 1.56174 2.47129 3.25598 3.91656 4.59107 5.46964 6.14677 6.27448 6.95064 7.34133 458.098 437.376 -425.637 -1236.75 -703.93 1072.86 2447.42 -1477.19 -2415.64 -1205.18 6075.32 -3015.19
9.35161 0.347414 1.31675 2.06885 2.98212 3.92951 4.40015 4.44503 5.32513 5.61771 6.52794 6.90828 7.57943 714.403 -38.5299 -843.957 -1234.31 404.506 1528.07 1599.22 -499.405 -2624.27 -1479.79 3604.5 -1118.88
9.66967 0.965497 1.80025 2.65848 2.95884 3.53181 4.08361 4.90728 5.89321 6.12109 6.23606 6.3994 7.05781 1533.26 -855.626 -2129.81 -1623.5 1094.06 4306.87 141.54 -9738.1 -2703.86 2365.85 10145.3 -2524.32
8.78362 0.557966 1.425 2.02855 2.05976 2.77593 3.76117 4.56393 4.87554 5.76976 6.40174 7.39236 8.22952 325.198 72.3685 -176.467 -189.75 -435.109 -180.584 646.757 860.958 -368.492 -1619.55 1573.49 -497.353
9.17066 0.987601 1.78296 2.3219 2.60661 3.50868 3.67598 4.36432 5.00387 5.35192 6.35171 7.04194 7.58309 730.833 -84.7383 -632.315 -813.464 -234.111 103.23 1656.03 1101.74 -956.374 -3823.43 4741.94 -1777.81
9.09394 0.946183 1.8093 1.84799 2.49216 2.69991 3.41364 3.64852 4.54529 5.52768 6.32427 7.00064 7.83209 622.345 -62.3591 -96.0102 -565.641 -634.696 -237.05 156.845 2095.28 -462.521 -3256.35 3251.5 -799.827
9.28415 0.978536 1.68885 2.29209 2.80996 3.43281 4.15017 4.87985 5.66539 5.93738 6.21106 6.81637 7.54856 737.396 -25.2478 -695.722 -966.882 -428.526 1436.09 2403.04 -1276.85 -2395.36 -1993.3 4450.09 -1233.19
9.38859 0.815255 1.58768 2.20819 3.12809 3.17843 4.11999 4.9369 5.57171 5.77768 6.47037 6.74846 7.47678 837.549 -111.159 -907.887 -848.207 -763.719 2287.2 2920.92 -2065.18 -3786.27 -621.369 4292.96 -1223.27
9.32222 0.607746 1.13573 2.05978 2.95166 3.68739 4.21797 5.06898 5.82125 6.40814 6.86763 6.87249 7.43692 614.802 159.299 -870.849 -1194.16 149.987 1808.11 1706.23 -3574.13 -2531.52 2806.48 2852.97 -1915.67
9.67986 0.638858 1.59924 2.39874 3.34219 3.91655 4.44362 5.19167 5.19583 6.02518 6.15994 7.02119 7.12683 1604.51 -837.217 -2593.66 -673.717 2810.57 4337.38 -3194.65 -3260.96 -1976.13 3079.89 7737.09 -7021.49
9.68888 0.575867 1.15333 1.68691 2.5611 3.0079 3.87423 4.16163 4.74347 5.69574 5.88092 6.66225 6.90434 1195.9 199.561 -887.339 -1851.38 -1213.14 2073.79 2720.62 436.67 -5284.42 -1861.85 12300.5 -7817.32
9.01339 0.828126 1.66297 2.06344 2.99335 3.12684 3.70136 4.63389 5.40908 6.31161 6.56488 6.97501 7.92838 487.207 -45.9387 -330.955 -565.033 -493.504 233.02 1849.75 -30.5498 -2899.96 -1186.08 3663.16 -669.608
9.59704 0.949016 1.91202 2.21585 3.16995 3.882 4.72445 5.27785 6.26666 6.45203 6.55347 7.00946 7.13001 1696.21 -1044.79 -1779.66 -1200.36 2947.55 3755.03 -5246.19 -5329.69 1629.05 5337.94 4677.23 -5430.73
9.43333 0.761115 1.46135 1.97362 2.37973 3.12674 4.05643 5.03664 5.68107 6.3083 6.34455 7.29214 7.40517 1096.24 32.0516 -817.242 -1278.72 -738.339 2931.75 1480.24 -5357.17 625.919 1594.23 5305.51 -4862.9
8.67053 0.702604 1.65524 2.52307 3.50623 3.92015 4.81585 5.53534 6.23496 7.16568 7.48392 7.85439 8.14913 286.465 -53.7652 -424.198 -338.031 42.3967 1125.36 442.692 -1807.37 -286.933 1004.61 1205.27 -1185.03
