0.0316	0.9954898292	0.0008036245
0.0323	0.9721111048	0.0007715167
0.0441	0.9757048734	0.0007686751
0.0445	0.9654014709	0.0005179192
0.0741	0.9402127419	0.000584974
0.0855	0.9476286192	0.0007914493
0.0859	0.9518403227	0.0006303578
0.0867	0.9497368056	0.000631754
0.1117	0.9407443861	0.0006909422
0.1162	0.9203260292	0.0005976143
0.14	0.9077444574	0.0006058974
0.1568	0.9088454214	0.000770208
0.1705	0.8826097665	0.0006798021
0.171	0.8899438185	0.0006180165
0.2004	0.9077444574	0.000660979
0.2053	0.8865664104	0.0006203709
0.2093	0.8757853618	0.0006850994
0.2379	0.8584870413	0.00058242
0.2484	0.8780660567	0.0006263766
0.2693	0.8348652586	0.0006587889
0.306	0.8324662155	0.000600625
0.3362	0.8111719916	0.0007396705
